Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
"Exploring fine root growth, phenology, and production in urban trees",https://helda.helsinki.fi/bitstreams/383f65d1-38ce-422c-96ef-8ee774220f42/download,"… roots and EcM root tips are a scarcely studied subject. In this thesis I studied fine root growth, 
phenology, depth distribution, annual production, and the number of EcM root tips of three …",E Marila - 2024 - helda.helsinki.fi,,,0,roots AND phenology,
Root Phenology in a Changing World,https://search.proquest.com/openview/9df68c09470b2ef0cc796d83a023c69c/1?pq-origsite=gscholar&cbl=18750&diss=y,"… the drivers of root phenology, in Chapter 1 we conducted a literature review of root phenology 
studies and determined that only 29% of these studies examined phenology in a highly …",L Radville - 2017 - search.proquest.com,,,0,roots AND phenology,
"Environmental Sensitivity and Impact of Climate Change on leaf-, wood-and root Phenology for the Overstory and Understory of Temperate Deciduous Forests",https://link.springer.com/article/10.1007/s40725-024-00233-5,"… The timing of wood phenology determines the period of wood … -root phenology mediates 
the timing of root growth and root system capacity for water and nutrient uptake [8]. Phenology …","M Campioli, LJ Marchand, C Zahnd, P Zuccarini…",Current Forestry …,2025,0,roots AND phenology,
Linking nutrient dynamics and phenology in Lupinus polyphyllus to identify the right timing for population control,https://www.sciencedirect.com/science/article/pii/S1439179125000209,"… phenology. We photographed and collected whole lupine plants throughout one growing 
season, divided them into roots, … The nutrient contents in roots were lowest during the flowering …","EL Blomqvist, YP Klinger, T Kleinebecker…",Basic and Applied …,2025,0,roots AND phenology,
Seasonal shifts in plant diversity effects on above‐ground–below‐ground phenological synchrony,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.14470,"… phenological aspects of community dynamics. This study takes a unique approach by examining 
plant phenology… the relatively unexplored realm of below‐ground processes. As a result…","AE Bonato Asato, C Guimarães‐Steinicke…",Journal of …,2025,0,belowground AND phenology,
Linking above-and belowground phenology of hybrid walnut in temperate agroforestry systems,https://theses.hal.science/tel-01684665/,"… In this thesis, we studied belowground processes in relation to above ground phenology of 
walnut trees (Juglans L.) growing in agroforestry systems in France. To check our hypothesis …",A Mohamed - 2016 - theses.hal.science,,,0,belowground AND phenology,
Phenology and allocation of belowground plant carbon at local to global scales,https://search.proquest.com/openview/f33033531c493eec827351f343e99a86/1?pq-origsite=gscholar&cbl=18750,"… transporting recently fixed CO2 belowground, where carbon (… is little understanding of how 
belowground plant-C allocation to … that root and shoot phenology are often asynchronous and …",RZ Abramoff - 2015 - search.proquest.com,,,0,belowground AND phenology,
"Tundra vegetation community, not microclimate, controls asynchrony of above and belowground phenology",https://ecoevorxiv.org/repository/view/7299/,"… However, we lack paired above- and below-ground phenology observations 181 across 
vegetations types and local temperature variation to test the extent to which these drivers 182 …","E Gallois, IH Myers-Smith, CM Iversen, V Salmon… - 2024 - ecoevorxiv.org",,,0,belowground AND phenology,
Phenology of belowground carbon allocation in a mid-latitude forest,https://ui.adsabs.harvard.edu/abs/2012AGUFM.B11C0450A/abstract,"… belowground C allocation. It is generally assumed that above and belowground phenology 
is … Some phenological studies suggest that root production peaks are offset from leaf out and …","RZ Abramoff, S Klosterman…",AGU Fall Meeting …,2012,0,belowground AND phenology,
"Alteration in phenological parameters, above‐ and belowground biomass, nutrient contents, and their pools with phenological stages of Salicornia brachiata Roxb",https://esj-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1440-1703.12241,"… in phenological parameters, above- and belowground biomass, nutrient contents, and nutrient 
pools at different phenological … Furthermore, the above- and belowground biomass of S. …","AP Rathore, DR Chaudhary, B Jha",Ecological Research,2021,0,belowground AND phenology,
Root phenology at Harvard Forest and beyond,https://ui.adsabs.harvard.edu/abs/2013AGUFM.H14D..02A/abstract,"… General patterns of root phenology varied widely with 1-5 … of phenological relationships 
within woody plants in the temperate biome, we focused on above and belowground phenology …","RZ Abramoff, A Finzi",AGU Fall Meeting Abstracts,2013,0,belowground AND phenology,
"Phenology Response of Subtropical Chinese Fir (Cunninghamia Lanceolata) to Soil Warming, Precipitation Exclusion and Their Interaction",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4688994,"… phenology to characterize belowground phenology or even 36 … according to a meta-analysis 
of 87 phenology studies on … phenology to characterize belowground phenology is likely to …","C Lin, H Zhao, T Chen, X Yao, X Wang, Y Yang… - papers.ssrn.com",,,0,belowground AND phenology,
"Capital and income breeders among herbs: how relative biomass allocation into a storage organ relates to clonal traits, phenology and environmental gradients",https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.20260,"… between organs above and belowground suggest that belowground biomass can be … 
The species-specific ratio of aboveground to belowground biomass needs to be taken into …","T Harris, A Kučerová, M Bitomský…",New …,2025,0,belowground AND phenology,
Linking Stem And Leaf Traits To Leaf Phenology In Native And Non-Native Woody Plants Of Eastern Deciduous Forests,https://ecommons.cornell.edu/bitstream/1813/36134/1/mss373.pdf,"… Using two congeneric pairs of native and nonnative understory plants with vastly contrasting 
leaf phenology, our results show evidence of links between belowground and aboveground …",M Smith - 2014 - ecommons.cornell.edu,,,0,belowground AND phenology,
"Go wide to go deep: Affordable, repicable robotic minirhizotron sampling for phenology studies",https://pure.mpg.de/rest/items/item_3360851/component/file_3360855/content,"… This lack of root 67 phenology data contributes to the lack of understanding of the … 68 
and belowground phenology, and highly simplistic simulation of belowground components 69 …","R Nair, M Strube, M Hertel, O Kolle, M Reichstein… - bioRxiv - pure.mpg.de",,,0,belowground AND phenology,
Root traits of shade trees in cocoa agroforestry systems are associated with functional leaf phenology,https://www.researchsquare.com/article/rs-5972723/latest,"… of the shade trees confirms our hypothesis of variations in cocoa plant below ground 
interactions with different shade tree phenological groups (Abdulai et al. 2025). Considering the …","I Abdulai, M Hoffmann, H Kahiluoto, MA Ahmed… - 2025 - researchsquare.com",,,0,belowground AND phenology,
Linking belowground and aboveground phenology in two boreal forests in Northeast China.,https://www.cabidigitallibrary.org/doi/full/10.5555/20143395887,"… between belowground and aboveground phenology. However, much less understanding of 
belowground phenology hinders integrating belowground and aboveground phenology. We …","DEZ Du EnZai, FJY Fang JingYun - 2014 - cabidigitallibrary.org",,,0,belowground AND phenology,
"Climate Change, Spruce Root Phenology, and Allocation of Carbon Below-and Above-Ground",https://search.proquest.com/openview/f0c311dfe1badaa0f0bfe5e32afc094e/1?pq-origsite=gscholar&cbl=18750,"… The phenology of fine roots in trees may be key to improving global carbon exchange … 
between the timing of aboveground and belowground carbon allocation as denoted by growth …",M Orton - 2017 - search.proquest.com,,,0,belowground AND phenology,
"Response of the fine root production, phenology, and turnover rate of six shrub species from a subtropical forest to a soil moisture gradient and shading.",https://www.cabidigitallibrary.org/doi/full/10.5555/20163098394,"… terms of fine root phenology to a soil … belowground carbon cycling in a forest ecosystem, 
particularly ecosystems in which the understory fine root highly contributes to the belowground …","FXL Fu XiaoLi, WJL Wang JunLong… - 2016 - cabidigitallibrary.org",,,0,belowground AND phenology,
"Spatial and temporal heterogeneity creates a"" brown tide"" in root phenology and nutrition",https://era.library.ualberta.ca/items/513a6aae-cdcf-4f7f-8bcd-60c9ed3156bb/download/8d62f291-8b6c-4226-a737-2d7a280e13c9,"… Spatial and temporal heterogeneity in plant phenology and … also to omnivores that utilize 
below-ground resources. We used … tide” in the phenology and nutrition of a below-ground plant …","GB Stenhouse, SCP Coogan, SE Nielsen - 2012 - era.library.ualberta.ca",,,0,belowground AND phenology,
"Perennial weeds: Phenology, Biomass development and Control",https://core.ac.uk/download/pdf/29223057.pdf,"… below-ground dry weight the instantaneous relative growth rate of above-ground dry weight 
and the instantaneous relative growth rate of below-ground … - and belowground plant parts …","MM Riemens, PO Bleeker, H Huijting…",The VIth International …,2012,0,belowground AND phenology,
Crop Phenotyping of Sorghum bicolor's Physiological Response to Salt-Affected Soils Using TLS and GPR Remote Sensing Technologies in Nevada Drylands,https://search.proquest.com/openview/3e8affda7ca1bf6918a2afd9dd61b011/1?pq-origsite=gscholar&cbl=18750&diss=y,"… We hypothesized that above- and belowground three-dimensional structural phenology of 
the five genotypes would be differently affected across the salinity gradient in the treatment …",EL Smith - 2023 - search.proquest.com,,,0,belowground AND phenology,
